id,systemCode,name,chamber,type,activityName,activityDate
hconres10,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-01-25 15:00:35+00:00
hconres10,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-01-25 15:00:30+00:00
hconres101,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2024-03-22 13:00:25+00:00
hconres101,hspw00,Transportation and Infrastructure Committee,House,Standing,Referred to,2024-03-22 13:00:15+00:00
hconres101,hsju00,Judiciary Committee,House,Standing,Referred to,2024-03-22 13:00:10+00:00
hconres101,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2024-03-22 13:00:05+00:00
hconres102,hsju00,Judiciary Committee,House,Standing,Referred to,2024-03-29 16:00:40+00:00
hconres103,hsha00,Committee on House Administration,House,Standing,Referred to,2024-04-12 12:00:20+00:00
hconres104,hsha00,Committee on House Administration,House,Standing,Referred to,2024-04-16 14:01:35+00:00
hconres105,hsha00,Committee on House Administration,House,Standing,Referred to,2024-05-01 14:00:45+00:00
hconres106,ssju00,Judiciary Committee,Senate,Standing,Referred to,2024-05-15 16:59:57+00:00
hconres106,hsju00,Judiciary Committee,House,Standing,Referred to,2024-05-06 16:01:35+00:00
hconres107,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2024-05-06 16:01:45+00:00
hconres12,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-02-01 15:04:25+00:00
hconres13,hsju00,Judiciary Committee,House,Standing,Referred to,2023-02-06 17:02:00+00:00
hconres16,hsas00,Armed Services Committee,House,Standing,Referred to,2023-02-17 15:06:35+00:00
hconres19,hsha00,Committee on House Administration,House,Standing,Referred to,2023-02-17 15:03:45+00:00
hconres2,hsju00,Judiciary Committee,House,Standing,Referred to,2023-01-09 22:01:20+00:00
hconres20,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-02-21 17:03:45+00:00
hconres21,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-03-01 14:09:45+00:00
hconres22,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-09 15:06:10+00:00
hconres23,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-09 15:04:30+00:00
hconres24,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-14 20:04:25+00:00
hconres25,hsha00,Committee on House Administration,House,Standing,Referred to,2023-03-17 15:02:00+00:00
hconres27,ssfr00,Foreign Relations Committee,Senate,Standing,Referred to,2024-06-12 16:59:53+00:00
hconres27,hsfa00,Foreign Affairs Committee,House,Standing,Markup by,2024-02-06 15:46:00+00:00
hconres27,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-03-23 14:02:50+00:00
hconres28,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-23 14:05:30+00:00
hconres29,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-03-28 14:00:10+00:00
hconres3,ssju00,Judiciary Committee,Senate,Standing,Referred to,2023-01-23 21:52:35+00:00
hconres3,hsju00,Judiciary Committee,House,Standing,Referred to,2023-01-09 22:01:25+00:00
hconres30,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-03-28 14:00:05+00:00
hconres31,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-30 13:03:25+00:00
hconres31,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-03-30 13:03:20+00:00
hconres32,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-30 13:06:05+00:00
hconres33,hsju00,Judiciary Committee,House,Standing,Referred to,2023-04-13 15:05:05+00:00
hconres33,hsif00,Energy and Commerce Committee,House,Standing,Referred to,2023-04-13 15:05:00+00:00
hconres35,hsha00,Committee on House Administration,House,Standing,Discharged from,2023-04-26 21:59:19+00:00
hconres35,hsha00,Committee on House Administration,House,Standing,Referred to,2023-04-25 16:07:00+00:00
hconres36,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-04-27 13:03:20+00:00
hconres38,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-05-02 15:03:40+00:00
hconres39,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-05-02 15:01:20+00:00
hconres4,hsju00,Judiciary Committee,House,Standing,Referred to,2023-01-09 22:19:05+00:00
