id,title,congress,number,type,latestActionDate,latestActionText,relationshipType,relationshipIdentifiedBy
hconres100,"Further Consolidated Appropriations Act, 2024",118,2882,HR,2024-03-23,Became Public Law No: 118-47.,Related bill,House
hconres101,"A concurrent resolution recognizing the need to improve physical access to many federally funded facilities for all people of the United States, particularly people with disabilities.",118,31,SCONRES,2024-03-22,"Referred to the Committee on Health, Education, Labor, and Pensions.",Identical bill,CRS
hconres102,A concurrent resolution supporting the goals and ideals of International Transgender Day of Visibility.,118,32,SCONRES,2024-03-22,Referred to the Committee on the Judiciary.,Identical bill,CRS
hconres102,Supporting the goals and ideals of International Transgender Day of Visibility.,118,32,HCONRES,2023-03-30,Referred to the House Committee on the Judiciary.,Identical bill,CRS
hconres102,A resolution supporting the goals and ideals of International Transgender Day of Visibility.,118,154,SRES,2023-03-30,Referred to the Committee on the Judiciary. (text: CR S1105),Identical bill,CRS
hconres103,"Authorizing the use of the rotunda of the Capitol for the lying in state of the remains of Ralph Puckett, Jr., the last Medal of Honor recipient for acts performed during the Korean conflict.",118,104,HCONRES,2024-04-16,Referred to the House Committee on House Administration.,Related bill,CRS
hconres103,"A concurrent resolution authorizing the use of the rotunda of the Capitol for the lying in honor of the remains of Ralph Puckett, Jr., the last surviving Medal of Honor recipient for acts performed during the Korean conflict.",118,33,SCONRES,2024-04-17,Motion to reconsider laid on the table Agreed to without objection.,Related bill,CRS
hconres104,"Authorizing the use of the rotunda of the Capitol for the lying in honor of the remains of Ralph Puckett, Jr., the last Medal of Honor recipient for acts performed during the Korean conflict.",118,103,HCONRES,2024-04-12,Referred to the House Committee on House Administration.,Related bill,CRS
hconres104,"A concurrent resolution authorizing the use of the rotunda of the Capitol for the lying in honor of the remains of Ralph Puckett, Jr., the last surviving Medal of Honor recipient for acts performed during the Korean conflict.",118,33,SCONRES,2024-04-17,Motion to reconsider laid on the table Agreed to without objection.,Related bill,CRS
hconres106,Expressing support for local law enforcement officers and condemning efforts to defund or dismantle local law enforcement agencies.,118,40,HCONRES,2023-05-30,Received in the Senate and referred to the Committee on the Judiciary.,Related bill,CRS
hconres106,Expressing support for local law enforcement officers and condemning efforts to defund or dismantle local law enforcement agencies.,118,40,HCONRES,2023-05-30,Received in the Senate and referred to the Committee on the Judiciary.,Related bill,House
hconres11,Providing for a joint session of Congress to receive a message from the President.,118,93,HCONRES,2024-03-07,Message on Senate action sent to the House.,Related bill,House
hconres13,A concurrent resolution supporting the Local Radio Freedom Act.,118,5,SCONRES,2023-03-09,"Referred to the Committee on Commerce, Science, and Transportation. (text: CR S749)",Identical bill,CRS
hconres14,Lower Energy Costs Act,118,1,HR,2023-03-30,"The Clerk was authorized to correct section numbers, punctuation, and cross references, and to make other necessary technical and conforming corrections in the engrossment of H.R. 1.",Related bill,CRS
hconres14,Lower Energy Costs Act,118,947,S,2023-03-22,Read twice and referred to the Committee on Energy and Natural Resources.,Related bill,CRS
hconres14,"Limit, Save, Grow Act of 2023",118,2811,HR,2023-05-04,Committee on the Budget. Hearings held.,Related bill,CRS
hconres15,Authorizing the use of the Capitol Grounds for the National Peace Officers Memorial Service and the National Honor Guard and Pipe Band Exhibition.,118,83,HCONRES,2024-03-12,Received in the Senate.,Related bill,CRS
hconres15,Authorizing the use of the Capitol Grounds for the National Peace Officers Memorial Service and the National Honor Guard and Pipe Band Exhibition.,118,83,HCONRES,2024-03-12,Received in the Senate.,Related bill,House
hconres17,Lower Energy Costs Act,118,1,HR,2023-03-30,"The Clerk was authorized to correct section numbers, punctuation, and cross references, and to make other necessary technical and conforming corrections in the engrossment of H.R. 1.",Related bill,CRS
hconres17,Lower Energy Costs Act,118,947,S,2023-03-22,Read twice and referred to the Committee on Energy and Natural Resources.,Related bill,CRS
hconres17,"Limit, Save, Grow Act of 2023",118,2811,HR,2023-05-04,Committee on the Budget. Hearings held.,Related bill,CRS
hconres18,"A concurrent resolution establishing deadlines for the Joint Committee of Congress on the Library to approve or deny the statue of the Reverend William Franklin ""Billy"" Graham, Jr., for placement in the National Statuary Hall.",118,4,SCONRES,2023-02-16,Referred to the Committee on Rules and Administration. (text: CR S465),Identical bill,CRS
hconres2,Expressing support for the Nation's law enforcement agencies and condemning any efforts to defund or dismantle law enforcement agencies.,118,5,HCONRES,2023-01-09,Referred to the House Committee on the Judiciary.,Related bill,CRS
hconres2,Expressing support for the Nation's law enforcement agencies and condemning any efforts to defund or dismantle law enforcement agencies.,118,4,HCONRES,2023-01-09,Referred to the House Committee on the Judiciary.,Identical bill,CRS
hconres22,Recognizing the significance of equal pay and the disparity between wages paid to men and women.,118,97,HCONRES,2024-03-12,Referred to the House Committee on Education and the Workforce.,Identical bill,CRS
hconres23,"A concurrent resolution expressing support for the recognition of March 10, 2023, as ""Abortion Provider Appreciation Day"".",118,6,SCONRES,2023-03-09,"Referred to the Committee on Health, Education, Labor, and Pensions. (text: CR S749-750)",Identical bill,CRS
hconres23,"Expressing support for the recognition of March 10, 2024, as ""Abortion Provider Appreciation Day"".",118,95,HCONRES,2024-03-07,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",Related bill,CRS
hconres23,"A concurrent resolution expressing support for the recognition of March 10, 2024, as ""Abortion Provider Appreciation Day"".",118,30,SCONRES,2024-03-07,"Referred to the Committee on Health, Education, Labor, and Pensions. (text: CR S2284-2285)",Related bill,CRS
hconres25,Authorizing the use of Emancipation Hall in the Capitol Visitor Center for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust.,118,89,HCONRES,2024-02-29,Received in the Senate.,Related bill,CRS
hconres25,Authorizing the use of Emancipation Hall in the Capitol Visitor Center for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust.,118,89,HCONRES,2024-02-29,Received in the Senate.,Related bill,House
hconres27,"A concurrent resolution condemning Russia's unjust and arbitrary detention of Russian opposition leader Vladimir Kara-Murza who has stood up in defense of democracy, the rule of law, and free and fair elections in Russia.",118,7,SCONRES,2023-11-06,Held at the desk.,Identical bill,CRS
hconres28,A concurrent resolution expressing the sense of Congress that tax-exempt fraternal benefit societies have historically provided and continue to provide critical benefits to the people and communities of the United States.,118,8,SCONRES,2023-03-23,Referred to the Committee on Finance. (text: CR S939),Identical bill,CRS
hconres3,"Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes.",118,5,HRES,2023-01-09,Motion to reconsider laid on the table Agreed to without objection.,Related bill,House
hconres31,"A resolution highlighting the risks that environmental defenders face around the world and commending their role in defending human rights, combating climate chaos, and supporting a clean, healthy, and sustainable environment.",118,138,SRES,2023-03-29,Read twice and referred to the Committee on Foreign Relations. (text: CR S1058-1059),Identical bill,CRS
hconres32,A resolution supporting the goals and ideals of International Transgender Day of Visibility.,118,154,SRES,2023-03-30,Referred to the Committee on the Judiciary. (text: CR S1105),Identical bill,CRS
hconres32,A concurrent resolution supporting the goals and ideals of International Transgender Day of Visibility.,118,32,SCONRES,2024-03-22,Referred to the Committee on the Judiciary.,Identical bill,CRS
hconres32,Supporting the goals and ideals of International Transgender Day of Visibility.,118,102,HCONRES,2024-03-29,Referred to the House Committee on the Judiciary.,Identical bill,CRS
hconres37,"A concurrent resolution expressing the sense of Congress that there is a climate emergency which demands a massive-scale mobilization to halt, reverse, and address its consequences and causes.",118,9,SCONRES,2023-04-27,Referred to the Committee on Environment and Public Works. (text: CR S1425-1426),Identical bill,CRS
hconres4,Expressing support for the Nation's law enforcement agencies and condemning any efforts to defund or dismantle law enforcement agencies.,118,5,HCONRES,2023-01-09,Referred to the House Committee on the Judiciary.,Related bill,CRS
hconres4,Expressing support for the Nation's law enforcement agencies and condemning any efforts to defund or dismantle law enforcement agencies.,118,2,HCONRES,2023-01-09,Referred to the House Committee on the Judiciary.,Identical bill,CRS
hconres40,"Expressing the sense of the House of Representatives that the dedication and devotion of law enforcement personnel should be recognized and that calls to ""defund"", ""disband"", ""dismantle"", or ""abolish"" the police should be condemned.",118,69,HRES,2023-01-27,Referred to the House Committee on the Judiciary.,Related bill,CRS
hconres40,"Providing for consideration of the bill (H.R. 2494) to make the assault of a law enforcement officer a deportable offense, and for other purposes; providing for consideration of the bill (H.R. 3091) to allow Federal law enforcement officers to purchase retired service weapons, and for other purposes; and providing for consideration of the concurrent resolution (H. Con. Res. 40) expressing support for local law enforcement officers and condemning efforts to defund or dismantle local law enforcement agencies.",118,398,HRES,2023-05-16,Motion to reconsider laid on the table Agreed to without objection.,Procedurally-related,House
hconres40,Expressing support for local law enforcement officers and condemning efforts to defund local law enforcement agencies.,118,106,HCONRES,2024-05-22,Star Print ordered on the concurrent resolution.,Related bill,CRS
hconres40,Expressing support for local law enforcement officers and condemning efforts to defund local law enforcement agencies.,118,106,HCONRES,2024-05-22,Star Print ordered on the concurrent resolution.,Related bill,House
hconres44,"A concurrent resolution urging the establishment of a United States Commission on Truth, Racial Healing, and Transformation.",118,19,SCONRES,2023-07-27,Referred to the Committee on the Judiciary. (text: CR S3772-3773),Identical bill,CRS
hconres46,Fiscal State of the Nation Resolution,118,10,SCONRES,2023-05-18,Referred to the Committee on the Budget. (text: CR S1753),Related bill,CRS
hconres47,A concurrent resolution expressing the need for the Senate to provide advice and consent to ratification of the United Nations Convention on Biological Diversity.,118,11,SCONRES,2023-05-31,Referred to the Committee on Foreign Relations. (text: CR S1849),Identical bill,CRS
hconres5,Expressing support for the Nation's law enforcement agencies and condemning any efforts to defund or dismantle law enforcement agencies.,118,2,HCONRES,2023-01-09,Referred to the House Committee on the Judiciary.,Related bill,CRS
hconres5,Expressing support for the Nation's law enforcement agencies and condemning any efforts to defund or dismantle law enforcement agencies.,118,4,HCONRES,2023-01-09,Referred to the House Committee on the Judiciary.,Related bill,CRS
hconres55,"A concurrent resolution recognizing the need for a sustainable, economically viable, and fair debt restructuring plan for the Puerto Rico Electric Power Authority.",118,12,SCONRES,2023-07-12,Referred to the Committee on Energy and Natural Resources. (text: CR S2367-2368),Identical bill,CRS
hconres56,"A concurrent resolution recognizing that the climate crisis disproportionately affects the health, economic opportunity, and fundamental rights of children, expressing the sense of Congress that leadership by the United States is still urgently needed to address the climate crisis, and acknowledging the need of the United States to develop a national, comprehensive, science-based, and just climate recovery plan to phase out fossil fuel emissions, protect and enhance natural carbon sequestration, and put the United States on a path toward stabilizing the climate system.",118,13,SCONRES,2023-07-13,Referred to the Committee on Environment and Public Works. (text: CR S2466-2468),Related bill,CRS
hconres57,A concurrent resolution expressing the sense of Congress supporting the State of Israel.,118,14,SCONRES,2023-09-19,Star Print ordered on the concurrent resolution.,Identical bill,CRS
hconres58,"A concurrent resolution calling on the media to engage in responsible and voluntary journalistic practices to deny mass public murderers the attention they desire and minimize any possible ""media contagion effect"" of irresponsible and sensationalistic reporting practices.",118,15,SCONRES,2023-07-18,Referred to the Committee on the Judiciary.,Identical bill,CRS
