id,bioguideId,fullName,firstName,lastName,party,state,district,byRequest,middleName
hconres1,C001053,"Rep. Cole, Tom [R-OK-4]",Tom,Cole,R,OK,4,N,
hconres10,T000165,"Rep. Tiffany, Thomas P. [R-WI-7]",Thomas,Tiffany,R,WI,7,N,P.
hconres100,D000600,"Rep. Diaz-Balart, Mario [R-FL-26]",Mario,Diaz-Balart,R,FL,26,N,
hconres101,H001081,"Rep. Hayes, Jahana [D-CT-5]",Jahana,Hayes,D,CT,5,N,
hconres102,J000305,"Rep. Jacobs, Sara [D-CA-51]",Sara,Jacobs,D,CA,51,N,
hconres103,B000490,"Rep. Bishop, Sanford D. [D-GA-2]",Sanford,Bishop,D,GA,2,N,D.
hconres104,B000490,"Rep. Bishop, Sanford D. [D-GA-2]",Sanford,Bishop,D,GA,2,N,D.
hconres105,C001055,"Rep. Case, Ed [D-HI-1]",Ed,Case,D,HI,1,N,
hconres106,E000235,"Rep. Ezell, Mike [R-MS-4]",Mike,Ezell,R,MS,4,N,
hconres107,P000619,"Rep. Peltola, Mary Sattler [D-AK-At Large]",Mary,Peltola,D,AK,,N,Sattler
hconres11,S001176,"Rep. Scalise, Steve [R-LA-1]",Steve,Scalise,R,LA,1,N,
hconres12,C001039,"Rep. Cammack, Kat [R-FL-3]",Kat,Cammack,R,FL,3,N,
hconres13,W000809,"Rep. Womack, Steve [R-AR-3]",Steve,Womack,R,AR,3,N,
hconres14,L000589,"Rep. Lesko, Debbie [R-AZ-8]",Debbie,Lesko,R,AZ,8,N,
hconres15,P000605,"Rep. Perry, Scott [R-PA-10]",Scott,Perry,R,PA,10,N,
hconres16,D000623,"Rep. DeSaulnier, Mark [D-CA-10]",Mark,DeSaulnier,D,CA,10,N,
hconres17,G000558,"Rep. Guthrie, Brett [R-KY-2]",Brett,Guthrie,R,KY,2,N,
hconres18,M001156,"Rep. McHenry, Patrick T. [R-NC-10]",Patrick,McHenry,R,NC,10,N,
hconres19,W000788,"Rep. Williams, Nikema [D-GA-5]",Nikema,Williams,D,GA,5,N,
hconres2,B001297,"Rep. Buck, Ken [R-CO-4]",Ken,Buck,R,CO,4,N,
hconres20,G000578,"Rep. Gaetz, Matt [R-FL-1]",Matt,Gaetz,R,FL,1,N,
hconres21,G000578,"Rep. Gaetz, Matt [R-FL-1]",Matt,Gaetz,R,FL,1,N,
hconres22,F000462,"Rep. Frankel, Lois [D-FL-22]",Lois,Frankel,D,FL,22,N,
hconres23,P000617,"Rep. Pressley, Ayanna [D-MA-7]",Ayanna,Pressley,D,MA,7,N,
hconres24,A000375,"Rep. Arrington, Jodey C. [R-TX-19]",Jodey,Arrington,R,TX,19,N,C.
hconres25,K000392,"Rep. Kustoff, David [R-TN-8]",David,Kustoff,R,TN,8,N,
hconres26,D000032,"Rep. Donalds, Byron [R-FL-19]",Byron,Donalds,R,FL,19,N,
hconres27,K000375,"Rep. Keating, William R. [D-MA-9]",William,Keating,D,MA,9,N,R.
hconres28,L000585,"Rep. LaHood, Darin [R-IL-16]",Darin,LaHood,R,IL,16,N,
hconres29,B001298,"Rep. Bacon, Don [R-NE-2]",Don,Bacon,R,NE,2,N,
hconres3,J000299,"Rep. Johnson, Mike [R-LA-4]",Mike,Johnson,R,LA,4,N,
hconres30,G000578,"Rep. Gaetz, Matt [R-FL-1]",Matt,Gaetz,R,FL,1,N,
hconres31,G000551,"Rep. Grijalva, Raúl M. [D-AZ-7]",Raúl,Grijalva,D,AZ,7,N,M.
hconres32,J000305,"Rep. Jacobs, Sara [D-CA-51]",Sara,Jacobs,D,CA,51,N,
hconres33,G000583,"Rep. Gottheimer, Josh [D-NJ-5]",Josh,Gottheimer,D,NJ,5,N,
hconres34,S001212,"Rep. Stauber, Pete [R-MN-8]",Pete,Stauber,R,MN,8,N,
hconres35,T000487,"Rep. Tokuda, Jill N. [D-HI-2]",Jill,Tokuda,D,HI,2,N,N.
hconres36,A000376,"Rep. Allred, Colin Z. [D-TX-32]",Colin,Allred,D,TX,32,N,Z.
hconres37,B000574,"Rep. Blumenauer, Earl [D-OR-3]",EARL,BLUMENAUER,D,OR,3,N,
hconres38,L000598,"Rep. LaLota, Nick [R-NY-1]",Nick,LaLota,R,NY,1,N,
hconres39,W000788,"Rep. Williams, Nikema [D-GA-5]",Nikema,Williams,D,GA,5,N,
hconres4,B001297,"Rep. Buck, Ken [R-CO-4]",Ken,Buck,R,CO,4,N,
hconres40,B001297,"Rep. Buck, Ken [R-CO-4]",Ken,Buck,R,CO,4,N,
hconres41,S000522,"Rep. Smith, Christopher H. [R-NJ-4]",CHRISTOPHER,SMITH,R,NJ,4,N,H.
hconres42,B001224,"Rep. Bush, Cori [D-MO-1]",Cori,Bush,D,MO,1,N,
hconres43,H000874,"Rep. Hoyer, Steny H. [D-MD-5]",STENY,HOYER,D,MD,5,N,H.
hconres44,L000551,"Rep. Lee, Barbara [D-CA-12]",BARBARA,LEE,D,CA,12,N,
hconres45,S001222,"Rep. Santos, George [R-NY-3]",George,Santos,R,NY,3,N,
hconres46,B001282,"Rep. Barr, Andy [R-KY-6]",Andy,Barr,R,KY,6,N,
hconres47,S001218,"Rep. Stansbury, Melanie Ann [D-NM-1]",Melanie,Stansbury,D,NM,1,N,Ann
hconres48,S001222,"Rep. Santos, George [R-NY-3]",George,Santos,R,NY,3,N,
hconres49,K000381,"Rep. Kilmer, Derek [D-WA-6]",Derek,Kilmer,D,WA,6,N,
hconres5,T000165,"Rep. Tiffany, Thomas P. [R-WI-7]",Thomas,Tiffany,R,WI,7,N,P.
hconres50,S001222,"Rep. Santos, George [R-NY-3]",George,Santos,R,NY,3,N,
hconres51,S001222,"Rep. Santos, George [R-NY-3]",George,Santos,R,NY,3,N,
