id,legislativeSubject,policyArea
hconres1,Congressional operations and organization,
hconres1,,Congress
hconres10,,International Affairs
hconres100,Appropriations,
hconres100,Legislative rules and procedure,
hconres100,,Congress
hconres101,,"Civil Rights and Liberties, Minority Issues"
hconres102,,"Civil Rights and Liberties, Minority Issues"
hconres103,Conflicts and wars,
hconres103,Congressional tributes,
hconres103,Military history,
hconres103,U.S. Capitol,
hconres103,U.S. history,
hconres103,Veterans' organizations and recognition,
hconres103,,Congress
hconres104,,Congress
hconres106,Congressional tributes,
hconres106,Law enforcement administration and funding,
hconres106,Law enforcement officers,
hconres106,,Crime and Law Enforcement
hconres11,Congressional operations and organization,
hconres11,"Presidents and presidential powers, Vice Presidents",
hconres11,,Congress
hconres12,"Agricultural prices, subsidies, credit",
hconres12,Agricultural trade,
hconres12,Congressional oversight,
hconres12,Free trade and trade barriers,
hconres12,Trade agreements and negotiations,
hconres12,,Foreign Trade and International Finance
hconres13,,"Science, Technology, Communications"
hconres14,Congressional-executive branch relations,
hconres14,Licensing and registrations,
hconres14,Oil and gas,
hconres14,Pipelines,
hconres14,"Presidents and presidential powers, Vice Presidents",
hconres14,,Energy
hconres15,Commemorative events and holidays,
hconres15,"Government buildings, facilities, and property",
hconres15,Law enforcement officers,
hconres15,Monuments and memorials,
hconres15,"Museums, exhibitions, cultural centers",
hconres15,Music,
hconres15,U.S. Capitol,
hconres15,,Congress
hconres16,California,
hconres16,Congressional tributes,
hconres16,Criminal procedure and sentencing,
hconres16,Fires,
hconres16,Military facilities and property,
hconres16,Military history,
hconres16,Military law,
hconres16,Military personnel and dependents,
hconres16,Racial and ethnic relations,
hconres16,,Armed Forces and National Security
hconres17,"Competitiveness, trade promotion, trade deficits",
hconres17,Oil and gas,
hconres17,Trade restrictions,
hconres17,,Energy
hconres18,Architect of the Capitol,
hconres18,Religion,
hconres18,U.S. Capitol,
hconres18,,Congress
hconres19,,Congress
hconres2,Congressional tributes,
hconres2,Law enforcement administration and funding,
hconres2,Law enforcement officers,
hconres2,,Crime and Law Enforcement
hconres20,,International Affairs
hconres22,Employment discrimination and employee rights,
hconres22,Labor standards,
hconres22,"Sex, gender, sexual orientation discrimination",
hconres22,Women's employment,
hconres22,,Labor and Employment
hconres23,Abortion,
hconres23,Commemorative events and holidays,
hconres23,Health personnel,
hconres23,,Health
hconres24,Constitution and constitutional amendments,
hconres24,State and local government operations,
hconres24,,Government Operations and Politics
hconres25,Commemorative events and holidays,
hconres25,Crime victims,
hconres25,Europe,
hconres25,Germany,
hconres25,Religion,
hconres25,U.S. Capitol,
hconres25,"War crimes, genocide, crimes against humanity",
hconres25,,Congress
hconres26,,Energy
hconres27,Conflicts and wars,
hconres27,Detention of persons,
hconres27,Europe,
hconres27,Human rights,
hconres27,Protest and dissent,
hconres27,Rule of law and government transparency,
hconres27,Russia,
hconres27,"Sovereignty, recognition, national governance and status",
hconres27,Ukraine,
hconres27,,International Affairs
hconres28,"Life, casualty, property insurance",
hconres28,"Social work, volunteer service, charitable organizations",
hconres28,Tax-exempt organizations,
hconres28,,Taxation
hconres29,,International Affairs
hconres3,Abortion,
hconres3,Crimes against property,
hconres3,Health facilities and institutions,
hconres3,,Crime and Law Enforcement
hconres30,Africa,
hconres30,Emergency planning and evacuation,
hconres30,Federal officials,
hconres30,Military personnel and dependents,
hconres30,"Presidents and presidential powers, Vice Presidents",
hconres30,Somalia,
hconres30,War and emergency powers,
hconres30,,International Affairs
hconres31,,International Affairs
hconres32,Commemorative events and holidays,
hconres32,"Sex, gender, sexual orientation discrimination",
hconres32,,"Civil Rights and Liberties, Minority Issues"
hconres33,,Health
hconres34,Administrative law and regulatory procedures,
hconres34,Department of the Interior,
hconres34,"Forests, forestry, trees",
hconres34,Land transfers,
hconres34,Mining,
hconres34,Minnesota,
hconres34,Watersheds,
hconres34,"Wilderness and natural areas, wildlife refuges, wild rivers, habitats",
hconres34,,Energy
hconres35,Commemorative events and holidays,
hconres35,Congressional tributes,
hconres35,Hawaii,
hconres35,U.S. Capitol,
hconres35,,Congress
hconres36,,International Affairs
hconres37,Air quality,
hconres37,Climate change and greenhouse gases,
hconres37,Economic performance and conditions,
hconres37,Emergency planning and evacuation,
hconres37,"Presidents and presidential powers, Vice Presidents",
hconres37,,Environmental Protection
hconres38,,International Affairs
hconres39,Abortion,
hconres39,El Salvador,
hconres39,Health care coverage and access,
hconres39,Human rights,
hconres39,Latin America,
hconres39,Women's health,
hconres39,,International Affairs
